number,value,datetime_start,datetime_complete,duration,params_C,params_class_weight,params_penalty,state
0,0.4875485580509892,2025-12-28 03:23:12.572760,2025-12-28 03:23:12.592703,0 days 00:00:00.019943,0.7765512116963639,,l2,COMPLETE
1,0.5022730864360871,2025-12-28 03:23:12.593201,2025-12-28 03:23:12.600712,0 days 00:00:00.007511,0.0327154223671959,balanced,l2,COMPLETE
2,0.48809983204518975,2025-12-28 03:23:12.600712,2025-12-28 03:23:12.608207,0 days 00:00:00.007495,0.3360258257041154,,l2,COMPLETE
3,0.5190924559991473,2025-12-28 03:23:12.608207,2025-12-28 03:23:12.623220,0 days 00:00:00.015013,0.03279018761733905,balanced,l1,COMPLETE
4,0.5193552299363831,2025-12-28 03:23:12.623220,2025-12-28 03:23:12.629727,0 days 00:00:00.006507,0.00622182012360715,balanced,l2,COMPLETE
5,0.5208620455205313,2025-12-28 03:23:12.629727,2025-12-28 03:23:12.636729,0 days 00:00:00.007002,0.01117251680521637,,l1,COMPLETE
6,0.5172015861990393,2025-12-28 03:23:12.637228,2025-12-28 03:23:12.643735,0 days 00:00:00.006507,0.0075207605712330336,balanced,l1,COMPLETE
7,0.49287386483496687,2025-12-28 03:23:12.643735,2025-12-28 03:23:18.333863,0 days 00:00:05.690128,8.259186155598925,balanced,l1,COMPLETE
8,0.5019276213997215,2025-12-28 03:23:18.334363,2025-12-28 03:23:18.341363,0 days 00:00:00.007000,0.031140890239381106,,l2,COMPLETE
9,0.49153794418902086,2025-12-28 03:23:18.341863,2025-12-28 03:23:18.350865,0 days 00:00:00.009002,2.397612626728877,balanced,l2,COMPLETE
10,0.5182692201678079,2025-12-28 03:23:18.350865,2025-12-28 03:23:18.356862,0 days 00:00:00.005997,0.0026548942058085903,,l1,COMPLETE
11,0.5182692201678079,2025-12-28 03:23:18.357362,2025-12-28 03:23:18.363363,0 days 00:00:00.006001,0.0016501478723855265,,l1,COMPLETE
12,0.5209465741996421,2025-12-28 03:23:18.363363,2025-12-28 03:23:18.371363,0 days 00:00:00.008000,0.0075007067400307435,,l1,COMPLETE
13,0.5237782849498525,2025-12-28 03:23:18.371363,2025-12-28 03:23:18.382375,0 days 00:00:00.011012,0.15464495980916762,,l1,COMPLETE
14,0.5119608080941723,2025-12-28 03:23:18.382375,2025-12-28 03:23:18.531940,0 days 00:00:00.149565,0.19610542622248886,,l1,COMPLETE
15,0.5195775771140438,2025-12-28 03:23:18.531940,2025-12-28 03:23:18.542944,0 days 00:00:00.011004,0.07432867007577475,,l1,COMPLETE
16,0.4896360489090288,2025-12-28 03:23:18.543444,2025-12-28 03:23:18.910196,0 days 00:00:00.366752,0.641988546634962,,l1,COMPLETE
17,0.5199414179502162,2025-12-28 03:23:18.910196,2025-12-28 03:23:18.921713,0 days 00:00:00.011517,0.09967742827028883,,l1,COMPLETE
18,0.5182692201678079,2025-12-28 03:23:18.921713,2025-12-28 03:23:18.927711,0 days 00:00:00.005998,0.001043405277896636,,l1,COMPLETE
19,0.5205092301642429,2025-12-28 03:23:18.927711,2025-12-28 03:23:18.934225,0 days 00:00:00.006514,0.015579787948582927,,l1,COMPLETE
